Definition: ,Percentage of women with a live birth or a stillbirth in the last 2 years who took iron tablets or syrup during their most recent pregnancy.,,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey (m80 = 1 or 3 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.909217033,,National weighted average,,91.9,,DHS report,90.2
,,,,,,,,
,,,,,,,,
v001,birthsw,ironsuppl,,,,,,
968,5,4,0.8,,,,,
969,8,8,1,,,,,
970,7,7,1,,,,,
971,2,1,0.5,,,,,
972,5,5,1,,,,,
973,5,5,1,,,,,
974,7,5,0.714285714,,,,,
975,2,1,0.5,,,,,
976,4,4,1,,,,,
977,2,2,1,,,,,
978,6,4,0.666666667,,,,,
979,7,5,0.714285714,,,,,
980,1,1,1,,,,,
981,7,6,0.857142857,,,,,
982,4,3,0.75,,,,,
983,4,4,1,,,,,
984,5,4,0.8,,,,,
985,8,7,0.875,,,,,
986,2,2,1,,,,,
987,2,2,1,,,,,
988,0,0,.,,,,,
989,8,6,0.75,,,,,
990,2,1,0.5,,,,,
991,2,2,1,,,,,
992,5,4,0.8,,,,,
993,6,5,0.833333333,,,,,
994,3,3,1,,,,,
995,1,1,1,,,,,
996,3,2,0.666666667,,,,,
997,5,4,0.8,,,,,
998,4,3,0.75,,,,,
999,3,3,1,,,,,
1000,5,5,1,,,,,
1001,4,4,1,,,,,
1002,3,2,0.666666667,,,,,
1003,4,4,1,,,,,
1004,3,3,1,,,,,
1005,0,0,.,,,,,
1006,3,3,1,,,,,
1007,3,2,0.666666667,,,,,
1008,2,1,0.5,,,,,
1009,5,5,1,,,,,
1010,6,5,0.833333333,,,,,
1011,8,7,0.875,,,,,
1012,7,7,1,,,,,
1013,3,2,0.666666667,,,,,
1014,2,2,1,,,,,
1015,9,9,1,,,,,
1016,1,1,1,,,,,
1017,7,6,0.857142857,,,,,
1018,5,5,1,,,,,
1019,6,6,1,,,,,
1020,5,3,0.6,,,,,
1021,4,4,1,,,,,
1022,6,6,1,,,,,
1023,2,2,1,,,,,
1024,1,1,1,,,,,
1025,7,6,0.857142857,,,,,
1026,3,2,0.666666667,,,,,
1027,6,6,1,,,,,
1028,10,7,0.7,,,,,
1029,3,3,1,,,,,
1030,2,1,0.5,,,,,
1031,6,6,1,,,,,
1032,6,6,1,,,,,
1033,6,5,0.833333333,,,,,
1034,6,4,0.666666667,,,,,
1035,5,5,1,,,,,
1036,2,2,1,,,,,
1037,5,3,0.6,,,,,
1038,5,4,0.8,,,,,
1039,2,2,1,,,,,
1040,4,4,1,,,,,
1041,6,6,1,,,,,
1042,4,3,0.75,,,,,
1043,3,3,1,,,,,
1044,8,7,0.875,,,,,
1045,6,6,1,,,,,
1046,2,0,0,,,,,
1047,7,7,1,,,,,
1048,9,7,0.777777778,,,,,
1049,5,4,0.8,,,,,
1050,3,3,1,,,,,
1051,3,2,0.666666667,,,,,
1052,9,6,0.666666667,,,,,
1053,6,3,0.5,,,,,
1054,16,15,0.9375,,,,,
1055,4,4,1,,,,,
1056,3,3,1,,,,,
1057,2,2,1,,,,,
1058,2,2,1,,,,,
1059,5,5,1,,,,,
1060,2,2,1,,,,,
1061,2,2,1,,,,,
1062,3,2,0.666666667,,,,,
1063,3,3,1,,,,,
1064,4,3,0.75,,,,,
1065,2,2,1,,,,,
1066,3,3,1,,,,,
1067,6,5,0.833333333,,,,,
1069,5,4,0.8,,,,,
1070,3,3,1,,,,,
1071,8,8,1,,,,,
1072,3,3,1,,,,,
1073,5,5,1,,,,,
1074,3,3,1,,,,,
1075,2,2,1,,,,,
1076,5,5,1,,,,,
1077,3,3,1,,,,,
1078,1,1,1,,,,,
1079,1,1,1,,,,,
1080,6,5,0.833333333,,,,,
1081,3,3,1,,,,,
1082,0,0,.,,,,,
1083,2,2,1,,,,,
1084,3,3,1,,,,,
1085,3,3,1,,,,,
1086,3,3,1,,,,,
1087,5,5,1,,,,,
1088,3,3,1,,,,,
1089,4,3,0.75,,,,,
1090,8,7,0.875,,,,,
1091,2,2,1,,,,,
1092,6,5,0.833333333,,,,,
1093,4,4,1,,,,,
1094,2,2,1,,,,,
1095,4,3,0.75,,,,,
1096,3,3,1,,,,,
1097,5,4,0.8,,,,,
1098,4,4,1,,,,,
1099,4,4,1,,,,,
1100,3,3,1,,,,,
1101,2,2,1,,,,,
1102,1,1,1,,,,,
1103,1,1,1,,,,,
1104,6,6,1,,,,,
1105,9,9,1,,,,,
1106,8,8,1,,,,,
1107,5,5,1,,,,,
1108,3,3,1,,,,,
1109,6,6,1,,,,,
1110,3,3,1,,,,,
1111,6,6,1,,,,,
1112,5,5,1,,,,,
1113,6,6,1,,,,,
1114,2,2,1,,,,,
1115,1,1,1,,,,,
1116,4,4,1,,,,,
1117,1,1,1,,,,,
1118,3,3,1,,,,,
1119,4,3,0.75,,,,,
1120,3,3,1,,,,,
1121,3,1,0.333333333,,,,,
1122,10,9,0.9,,,,,
1123,8,8,1,,,,,
1124,3,3,1,,,,,
1125,3,3,1,,,,,
1126,5,5,1,,,,,
1127,2,2,1,,,,,
1128,6,6,1,,,,,
1129,8,8,1,,,,,
1130,12,12,1,,,,,
1131,3,1,0.333333333,,,,,
1132,2,2,1,,,,,
1133,10,8,0.8,,,,,
1134,5,3,0.6,,,,,
1135,5,4,0.8,,,,,
1136,8,7,0.875,,,,,
1137,2,2,1,,,,,
1138,5,5,1,,,,,
1139,3,3,1,,,,,
1140,2,2,1,,,,,
1141,2,2,1,,,,,
1142,9,8,0.888888889,,,,,
1143,9,7,0.777777778,,,,,
1144,8,6,0.75,,,,,
1145,8,6,0.75,,,,,
1146,5,4,0.8,,,,,
1147,11,11,1,,,,,
1148,2,2,1,,,,,
1149,7,7,1,,,,,
1150,6,5,0.833333333,,,,,
1151,10,8,0.8,,,,,
1152,6,5,0.833333333,,,,,
1153,3,2,0.666666667,,,,,
1154,10,10,1,,,,,
1155,8,8,1,,,,,
1156,8,7,0.875,,,,,
1157,8,7,0.875,,,,,
1158,4,4,1,,,,,
1159,10,7,0.7,,,,,
1160,12,11,0.916666667,,,,,
1161,6,5,0.833333333,,,,,
1162,6,4,0.666666667,,,,,
1163,5,5,1,,,,,
1164,12,5,0.416666667,,,,,
1165,7,7,1,,,,,
1166,2,2,1,,,,,
1167,4,3,0.75,,,,,
1168,2,2,1,,,,,
1169,4,4,1,,,,,
1170,5,5,1,,,,,
1171,2,2,1,,,,,
1172,5,5,1,,,,,
1173,3,3,1,,,,,
1174,3,3,1,,,,,
1175,7,7,1,,,,,
1176,2,2,1,,,,,
1177,6,6,1,,,,,
1178,4,3,0.75,,,,,
1179,3,3,1,,,,,
1180,5,4,0.8,,,,,
1181,5,5,1,,,,,
1182,5,5,1,,,,,
1183,2,2,1,,,,,
1184,2,2,1,,,,,
1185,0,0,.,,,,,
1186,3,3,1,,,,,
1187,4,4,1,,,,,
1188,4,4,1,,,,,
1189,9,8,0.888888889,,,,,
1190,5,5,1,,,,,
1191,6,4,0.666666667,,,,,
1192,8,8,1,,,,,
1193,11,10,0.909090909,,,,,
1194,3,3,1,,,,,
1195,3,3,1,,,,,
1196,4,3,0.75,,,,,
1197,3,3,1,,,,,
1198,9,9,1,,,,,
1199,3,3,1,,,,,
1200,2,2,1,,,,,
1201,8,8,1,,,,,
1202,3,3,1,,,,,
1203,5,5,1,,,,,
1204,4,4,1,,,,,
1205,4,4,1,,,,,
1206,5,5,1,,,,,
1207,2,2,1,,,,,
1208,7,5,0.714285714,,,,,
1209,5,5,1,,,,,
1210,3,3,1,,,,,
1211,4,4,1,,,,,
1212,2,2,1,,,,,
1213,9,9,1,,,,,
1214,5,5,1,,,,,
1215,2,2,1,,,,,
1216,2,2,1,,,,,
1217,7,5,0.714285714,,,,,
1218,4,4,1,,,,,
1219,6,5,0.833333333,,,,,
1220,2,2,1,,,,,
1221,4,4,1,,,,,
1222,2,2,1,,,,,
1223,4,4,1,,,,,
1224,1,1,1,,,,,
1225,3,3,1,,,,,
1226,3,2,0.666666667,,,,,
1227,8,7,0.875,,,,,
1228,7,7,1,,,,,
1229,1,1,1,,,,,
1230,4,3,0.75,,,,,
1231,5,4,0.8,,,,,
1232,5,2,0.4,,,,,
1233,8,7,0.875,,,,,
1234,2,2,1,,,,,
1235,4,4,1,,,,,
1236,6,6,1,,,,,
1237,9,9,1,,,,,
1238,2,2,1,,,,,
1239,4,4,1,,,,,
1240,3,3,1,,,,,
1241,8,8,1,,,,,
1242,3,3,1,,,,,
1243,5,4,0.8,,,,,
1244,4,4,1,,,,,
1245,3,3,1,,,,,
1246,5,4,0.8,,,,,
1247,8,7,0.875,,,,,
1248,4,4,1,,,,,
1249,4,4,1,,,,,
1250,5,4,0.8,,,,,
1251,3,3,1,,,,,
1252,3,3,1,,,,,
1253,3,1,0.333333333,,,,,
1254,2,2,1,,,,,
1255,3,3,1,,,,,
1256,4,4,1,,,,,
1257,6,6,1,,,,,
1258,7,6,0.857142857,,,,,
1259,2,2,1,,,,,
1260,7,7,1,,,,,
1261,4,4,1,,,,,
1262,5,5,1,,,,,
1263,10,9,0.9,,,,,
1264,4,4,1,,,,,
1265,7,7,1,,,,,
1266,4,3,0.75,,,,,
1267,4,3,0.75,,,,,
1268,6,6,1,,,,,
1269,4,3,0.75,,,,,
1270,3,3,1,,,,,
1271,2,1,0.5,,,,,
1272,6,6,1,,,,,
1273,3,3,1,,,,,
1274,3,3,1,,,,,
1275,5,5,1,,,,,
1276,4,3,0.75,,,,,
1277,2,2,1,,,,,
1278,7,7,1,,,,,
1279,4,4,1,,,,,
1280,4,4,1,,,,,
1281,5,4,0.8,,,,,
1282,7,7,1,,,,,
1283,4,4,1,,,,,
1284,5,5,1,,,,,
1285,2,2,1,,,,,
1286,6,6,1,,,,,
1287,5,5,1,,,,,
1288,6,6,1,,,,,
1289,4,3,0.75,,,,,
1290,4,4,1,,,,,
1291,0,0,.,,,,,
1292,3,3,1,,,,,
1293,5,5,1,,,,,
1294,6,6,1,,,,,
1295,5,5,1,,,,,
1296,9,9,1,,,,,
1297,9,9,1,,,,,
1298,3,3,1,,,,,
1299,4,3,0.75,,,,,
1300,4,4,1,,,,,
1301,7,7,1,,,,,
1302,4,4,1,,,,,
1303,6,6,1,,,,,
1304,4,4,1,,,,,
1305,7,6,0.857142857,,,,,
1306,4,3,0.75,,,,,
1307,3,3,1,,,,,
1308,4,4,1,,,,,
1309,7,6,0.857142857,,,,,
1310,3,3,1,,,,,
1311,6,5,0.833333333,,,,,
1312,2,2,1,,,,,
1313,2,2,1,,,,,
1314,3,3,1,,,,,
1315,3,3,1,,,,,
1316,2,2,1,,,,,
1317,3,3,1,,,,,
1318,4,4,1,,,,,
1319,3,3,1,,,,,
1320,2,2,1,,,,,
1321,6,6,1,,,,,
1322,2,2,1,,,,,
1323,3,3,1,,,,,
1324,1,1,1,,,,,
1325,4,3,0.75,,,,,
1326,6,6,1,,,,,
1327,4,4,1,,,,,
1328,4,4,1,,,,,
1329,3,3,1,,,,,
1330,3,3,1,,,,,
1331,5,5,1,,,,,
1332,3,3,1,,,,,
1333,4,4,1,,,,,
1334,5,5,1,,,,,
1335,3,3,1,,,,,
1336,8,8,1,,,,,
1337,5,5,1,,,,,
1338,3,3,1,,,,,
1339,3,3,1,,,,,
1340,5,5,1,,,,,
1341,10,10,1,,,,,
1342,5,5,1,,,,,
1343,2,2,1,,,,,
1344,2,2,1,,,,,
1345,5,4,0.8,,,,,
1346,6,5,0.833333333,,,,,
1347,3,2,0.666666667,,,,,
1348,4,3,0.75,,,,,
1349,5,5,1,,,,,
1350,4,4,1,,,,,
1351,3,3,1,,,,,
1352,4,3,0.75,,,,,
1353,6,5,0.833333333,,,,,
1354,3,3,1,,,,,
1355,8,8,1,,,,,
1356,5,4,0.8,,,,,
1357,5,5,1,,,,,
1358,6,4,0.666666667,,,,,
1359,5,4,0.8,,,,,
1360,3,3,1,,,,,
1361,3,3,1,,,,,
1362,7,7,1,,,,,
1363,5,5,1,,,,,
1364,8,7,0.875,,,,,
1365,4,4,1,,,,,
1366,5,5,1,,,,,
1367,5,5,1,,,,,
1368,2,2,1,,,,,
1369,7,5,0.714285714,,,,,
1370,3,3,1,,,,,
1371,5,5,1,,,,,
1372,7,5,0.714285714,,,,,
1373,4,4,1,,,,,
1374,5,5,1,,,,,
1375,6,4,0.666666667,,,,,
1376,6,6,1,,,,,
1377,8,8,1,,,,,
1378,4,4,1,,,,,
1379,1,1,1,,,,,
1380,4,4,1,,,,,
1381,5,4,0.8,,,,,
1382,4,3,0.75,,,,,
1383,6,5,0.833333333,,,,,
1384,2,2,1,,,,,
1385,3,3,1,,,,,
1386,2,2,1,,,,,
1387,9,9,1,,,,,
1388,5,5,1,,,,,
1389,1,1,1,,,,,
1390,5,5,1,,,,,
1391,6,6,1,,,,,
1392,4,4,1,,,,,
1393,5,5,1,,,,,
1394,3,3,1,,,,,
1395,6,6,1,,,,,
1396,6,5,0.833333333,,,,,
1397,4,3,0.75,,,,,
1398,4,4,1,,,,,
1399,10,9,0.9,,,,,
1400,3,3,1,,,,,
1401,7,6,0.857142857,,,,,
1402,4,3,0.75,,,,,
1403,6,6,1,,,,,
1404,3,3,1,,,,,
1405,2,2,1,,,,,
1406,7,7,1,,,,,
1407,3,3,1,,,,,
1408,5,5,1,,,,,
1409,8,8,1,,,,,
1410,4,4,1,,,,,
1411,5,5,1,,,,,
1412,10,10,1,,,,,
1413,5,5,1,,,,,
1414,10,10,1,,,,,
1415,9,9,1,,,,,
1416,6,6,1,,,,,
1417,5,5,1,,,,,
1418,5,5,1,,,,,
1419,5,5,1,,,,,
1420,7,6,0.857142857,,,,,
1421,5,5,1,,,,,
1422,4,4,1,,,,,
1423,6,6,1,,,,,
1424,3,3,1,,,,,
1425,4,2,0.5,,,,,
1426,3,3,1,,,,,
1427,5,5,1,,,,,
1428,6,6,1,,,,,
1429,5,4,0.8,,,,,
1430,3,2,0.666666667,,,,,
1431,7,7,1,,,,,
1432,5,2,0.4,,,,,
1433,4,4,1,,,,,
1434,2,2,1,,,,,
1435,5,5,1,,,,,
1436,3,3,1,,,,,
1437,3,3,1,,,,,
1438,4,4,1,,,,,
1439,4,4,1,,,,,
1440,1,1,1,,,,,
1441,3,2,0.666666667,,,,,
1442,3,3,1,,,,,
1443,4,4,1,,,,,
1444,5,5,1,,,,,
1445,2,2,1,,,,,
1446,3,3,1,,,,,
1447,3,3,1,,,,,
1448,4,4,1,,,,,
1449,4,3,0.75,,,,,
1450,8,7,0.875,,,,,
1451,5,5,1,,,,,
1452,6,4,0.666666667,,,,,
1453,3,3,1,,,,,
1454,2,2,1,,,,,
1455,1,1,1,,,,,
1456,3,3,1,,,,,
1457,5,4,0.8,,,,,
1458,11,11,1,,,,,
1459,5,5,1,,,,,
1460,4,4,1,,,,,
1461,6,6,1,,,,,
1462,4,4,1,,,,,
1463,4,4,1,,,,,
1464,6,6,1,,,,,
1465,4,4,1,,,,,
1466,5,5,1,,,,,
1467,4,4,1,,,,,
1468,6,6,1,,,,,
1469,4,4,1,,,,,
1470,2,2,1,,,,,
1471,7,7,1,,,,,
1472,4,3,0.75,,,,,
1473,3,2,0.666666667,,,,,
1474,5,4,0.8,,,,,
1475,0,0,.,,,,,
1476,8,7,0.875,,,,,
1477,4,4,1,,,,,
1478,6,6,1,,,,,
1479,7,7,1,,,,,
1481,4,4,1,,,,,
1482,4,4,1,,,,,
1483,8,8,1,,,,,
1484,8,8,1,,,,,
1485,4,4,1,,,,,
1486,6,6,1,,,,,
1487,6,6,1,,,,,
1488,1,1,1,,,,,
1489,8,7,0.875,,,,,
1490,4,3,0.75,,,,,
1491,6,6,1,,,,,
1492,6,6,1,,,,,
1493,2,2,1,,,,,
1494,0,0,.,,,,,
1495,7,6,0.857142857,,,,,
1496,3,1,0.333333333,,,,,
1497,7,5,0.714285714,,,,,
1498,3,3,1,,,,,
1499,2,2,1,,,,,
1500,8,8,1,,,,,
1501,4,4,1,,,,,
1502,2,2,1,,,,,
1503,4,4,1,,,,,
1504,6,6,1,,,,,
1505,5,5,1,,,,,
1506,2,2,1,,,,,
1507,5,5,1,,,,,
1508,6,5,0.833333333,,,,,
1509,2,2,1,,,,,
1510,7,6,0.857142857,,,,,
1511,7,6,0.857142857,,,,,
1512,10,10,1,,,,,
1513,4,4,1,,,,,
1514,7,7,1,,,,,
1515,5,5,1,,,,,
1516,3,3,1,,,,,
1517,3,2,0.666666667,,,,,
1518,5,5,1,,,,,
1519,1,1,1,,,,,
1520,5,4,0.8,,,,,
1521,5,4,0.8,,,,,
1522,4,4,1,,,,,
1523,1,1,1,,,,,
1524,4,4,1,,,,,
1525,3,3,1,,,,,
1526,13,11,0.846153846,,,,,
1527,4,4,1,,,,,
1528,4,3,0.75,,,,,
1529,4,4,1,,,,,
1530,4,4,1,,,,,
1531,7,6,0.857142857,,,,,
1532,8,7,0.875,,,,,
1533,5,5,1,,,,,
1534,5,5,1,,,,,
1535,7,5,0.714285714,,,,,
1536,7,6,0.857142857,,,,,
1537,10,8,0.8,,,,,
1538,9,9,1,,,,,
1539,11,8,0.727272727,,,,,
1540,3,3,1,,,,,
1541,5,4,0.8,,,,,
1542,2,2,1,,,,,
1543,7,7,1,,,,,
1544,6,6,1,,,,,
1545,7,7,1,,,,,
1546,3,3,1,,,,,
1547,6,5,0.833333333,,,,,
1548,8,7,0.875,,,,,
1549,8,8,1,,,,,
1550,5,5,1,,,,,
1551,4,3,0.75,,,,,
1552,6,6,1,,,,,
1553,9,9,1,,,,,
1554,5,5,1,,,,,
1555,3,3,1,,,,,
1556,5,5,1,,,,,
1557,4,3,0.75,,,,,
1558,5,4,0.8,,,,,
1559,8,8,1,,,,,
1560,5,5,1,,,,,
1561,4,4,1,,,,,
1562,2,2,1,,,,,
1563,4,4,1,,,,,
1564,5,5,1,,,,,
1565,2,1,0.5,,,,,
1566,3,3,1,,,,,
1567,5,5,1,,,,,
1568,6,5,0.833333333,,,,,
1569,4,4,1,,,,,
1570,3,3,1,,,,,
1571,1,1,1,,,,,
1572,2,2,1,,,,,
1573,2,2,1,,,,,
1574,4,4,1,,,,,
1575,4,4,1,,,,,
1576,1,0,0,,,,,
1577,3,3,1,,,,,
1578,2,2,1,,,,,
1579,4,4,1,,,,,
1580,4,4,1,,,,,
1581,4,4,1,,,,,
1582,6,6,1,,,,,
1583,4,3,0.75,,,,,
1584,4,4,1,,,,,
1585,3,3,1,,,,,
1586,5,5,1,,,,,
1588,2,2,1,,,,,
1589,5,5,1,,,,,
1590,4,3,0.75,,,,,
1591,3,3,1,,,,,
1592,5,5,1,,,,,
1593,5,5,1,,,,,
1594,6,4,0.666666667,,,,,
1595,1,1,1,,,,,
1596,6,6,1,,,,,
1597,6,6,1,,,,,
1598,5,5,1,,,,,
1599,3,3,1,,,,,
1600,3,1,0.333333333,,,,,
1601,2,2,1,,,,,
1602,1,1,1,,,,,
1603,2,2,1,,,,,
1604,1,1,1,,,,,
1605,4,2,0.5,,,,,
1606,1,1,1,,,,,
1607,1,1,1,,,,,
1608,4,4,1,,,,,
1609,1,1,1,,,,,
1610,4,4,1,,,,,
1611,5,5,1,,,,,
1612,4,4,1,,,,,
1613,3,3,1,,,,,
1614,2,2,1,,,,,
1615,6,4,0.666666667,,,,,
1616,1,1,1,,,,,
1617,2,2,1,,,,,
1618,3,3,1,,,,,
1619,3,3,1,,,,,
1620,6,6,1,,,,,
1621,1,1,1,,,,,
1622,2,2,1,,,,,
1623,5,5,1,,,,,
1624,1,1,1,,,,,
1625,4,3,0.75,,,,,
1626,0,0,.,,,,,
1627,4,4,1,,,,,
1628,9,9,1,,,,,
1629,2,2,1,,,,,
1630,2,2,1,,,,,
1631,7,7,1,,,,,
1632,3,2,0.666666667,,,,,
1633,1,1,1,,,,,
1634,5,5,1,,,,,
1635,6,6,1,,,,,
1636,6,5,0.833333333,,,,,
1637,1,1,1,,,,,
1638,3,3,1,,,,,
1639,3,3,1,,,,,
1640,3,3,1,,,,,
1641,7,7,1,,,,,
1642,2,2,1,,,,,
1643,4,4,1,,,,,
1644,2,2,1,,,,,
1645,0,0,.,,,,,
1646,3,3,1,,,,,
1647,0,0,.,,,,,
1648,3,3,1,,,,,
1649,4,4,1,,,,,
1650,5,5,1,,,,,
1651,4,4,1,,,,,
1652,2,1,0.5,,,,,
1653,3,3,1,,,,,
1654,2,2,1,,,,,
1655,1,1,1,,,,,
1656,4,4,1,,,,,
1657,1,1,1,,,,,
1658,6,6,1,,,,,
1659,1,1,1,,,,,
1660,3,3,1,,,,,
1661,4,4,1,,,,,
1662,6,6,1,,,,,
1663,0,0,.,,,,,
1664,5,4,0.8,,,,,
1665,1,1,1,,,,,
1666,3,3,1,,,,,
1667,6,5,0.833333333,,,,,
1668,3,3,1,,,,,
1669,1,1,1,,,,,
1671,4,3,0.75,,,,,
1672,1,1,1,,,,,
1673,5,4,0.8,,,,,
1674,3,3,1,,,,,
1675,2,1,0.5,,,,,
1676,4,4,1,,,,,
1677,6,5,0.833333333,,,,,
1678,3,3,1,,,,,
1679,1,1,1,,,,,
1680,3,3,1,,,,,
1681,0,0,.,,,,,
1682,3,3,1,,,,,
1683,6,5,0.833333333,,,,,
1684,5,5,1,,,,,
1685,1,1,1,,,,,
1687,0,0,.,,,,,
1688,3,3,1,,,,,
1689,5,5,1,,,,,
1690,7,6,0.857142857,,,,,
1691,2,2,1,,,,,
1692,2,1,0.5,,,,,
,7776,6934,0.909217033,,,,,
